OrderID,Status,Date,Time,Cost,Item,
1,Complete,12/30/2024,9:56,16,"Taro Tea, Matcha Tea",0
2,Complete,12/30/2024,10:20,15,"Taro Tea, Classic Milk Tea",0
3,Complete,12/30/2024,14:51,7.5,Fruit Tea,0
4,Complete,12/30/2024,10:05,8,Taro Tea,0
5,Complete,12/30/2024,9:26,16,"Taro Tea, Matcha Tea",0
6,Complete,12/30/2024,16:36,23,"Taro Tea, Classic Milk Tea, Matcha Tea",0
7,Complete,12/30/2024,11:37,14,"Classic Milk Tea, Classic Milk Tea",0
8,Complete,12/30/2024,12:33,23.5,"Fruit Tea, Taro Tea, Matcha Tea",0
9,Complete,12/30/2024,14:05,15,"Classic Milk Tea, Matcha Tea",0
10,Complete,12/30/2024,14:28,16,"Taro Tea, Matcha Tea",0
11,Complete,12/30/2024,21:01,7.5,Fruit Tea,0
12,Complete,12/30/2024,19:53,14.5,"Classic Milk Tea, Fruit Tea",0
13,Complete,12/30/2024,17:53,23,"Classic Milk Tea, Matcha Tea, Matcha Tea",0
14,Complete,12/30/2024,11:49,15,"Classic Milk Tea, Taro Tea",0
15,Complete,12/30/2024,9:14,23,"Taro Tea, Matcha Tea, Classic Milk Tea",0
16,Complete,12/30/2024,16:43,24,"Matcha Tea, Taro Tea, Taro Tea",0
17,Complete,12/30/2024,19:50,21.5,"Classic Milk Tea, Fruit Tea, Classic Milk Tea",0
18,Complete,12/30/2024,9:24,22.5,"Taro Tea, Classic Milk Tea, Fruit Tea",0
19,Complete,12/30/2024,14:41,7.5,Fruit Tea,0
20,Complete,12/30/2024,12:44,8,Matcha Tea,0
21,Complete,12/30/2024,19:28,24,"Matcha Tea, Matcha Tea, Matcha Tea",0
22,Complete,12/30/2024,14:43,8,Taro Tea,0
23,Complete,12/30/2024,9:22,7,Classic Milk Tea,0
24,Complete,12/30/2024,18:53,22,"Classic Milk Tea, Fruit Tea, Fruit Tea",0
25,Complete,12/30/2024,15:20,14,"Classic Milk Tea, Classic Milk Tea",0
26,Complete,12/30/2024,10:43,8,Matcha Tea,0
27,Complete,12/30/2024,11:08,15.5,"Fruit Tea, Taro Tea",0
28,Complete,12/30/2024,13:55,8,Taro Tea,0
29,Complete,12/30/2024,21:20,23.5,"Taro Tea, Matcha Tea, Fruit Tea",0
30,Complete,12/30/2024,16:06,8,Taro Tea,0
31,Complete,12/30/2024,13:16,7.5,Fruit Tea,0
32,Complete,12/30/2024,18:59,8,Matcha Tea,0
33,Complete,12/30/2024,15:04,8,Matcha Tea,0
34,Complete,12/30/2024,21:20,22,"Classic Milk Tea, Classic Milk Tea, Taro Tea",0
35,Complete,12/30/2024,20:49,15,"Taro Tea, Classic Milk Tea",0
