Order_ID,Product_ID,Item_ID,Size,Sugar,Ice,Extra_Milk
1,22,1 1,Large,50,50,0
1,20,1 1,Bucees_Large,0,75,1
1,11,1 1,Bucees_Large,100,0,1
1,3,1 1,Large,0,50,0
2,7,2 1,Medium,50,0,0
2,10,2 1,Large,50,100,1
2,18,2 1,Bucees_Large,0,100,0
3,15,3 1,Large,100,0,0
3,24,3 1,Medium,0,100,1
4,11,4 1,Bucees_Large,0,75,0
4,16,4 1,Small,0,0,0
4,13,4 1,Bucees_Large,50,0,1
4,18,4 1,Bucees_Large,100,0,1
4,14,4 1,Medium,100,50,0
5,12,5 1,Medium,0,75,0
5,17,5 1,Small,0,75,0
6,7,6 1,Bucees_Large,0,100,0
6,21,6 1,Bucees_Large,50,75,1
6,14,6 1,Large,50,100,0
6,24,6 1,Medium,0,0,1
7,18,7 1,Bucees_Large,50,0,1
7,24,7 1,Medium,50,0,1
7,3,7 1,Medium,100,50,1
7,4,7 1,Large,50,75,1
8,4,8 1,Small,50,75,0
8,21,8 1,Large,75,0,1
8,19,8 1,Small,100,75,0
8,16,8 1,Small,75,100,0
8,1,8 1,Medium,100,0,0
9,6,9 1,Bucees_Large,0,75,0
9,21,9 1,Medium,100,100,1
9,18,9 1,Small,0,100,0
10,19,10 1,Medium,50,50,1
10,1,10 1,Small,50,100,0
10,11,10 1,Bucees_Large,50,100,0
10,1,10 1,Small,0,0,0
11,20,11 1,Medium,100,0,0
11,25,11 1,Medium,100,100,0
12,17,12 1,Small,75,100,0
12,21,12 1,Bucees_Large,50,75,0
12,16,12 1,Medium,50,100,1
12,19,12 1,Large,100,50,1
12,15,12 1,Large,75,0,1
13,1,13 1,Medium,100,75,1
13,23,13 1,Large,0,75,0
13,15,13 1,Bucees_Large,50,75,0
14,17,14 1,Bucees_Large,75,0,0
14,14,14 1,Medium,100,75,0
14,13,14 1,Small,100,50,0
15,24,15 1,Small,50,0,0
15,23,15 1,Large,75,50,1
15,15,15 1,Bucees_Large,50,50,0
15,17,15 1,Bucees_Large,50,50,0
16,21,16 1,Large,100,0,1
16,16,16 1,Small,100,0,0
16,3,16 1,Medium,0,50,1
16,15,16 1,Medium,50,100,0
16,18,16 1,Medium,75,0,1
